"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\kaio\lib\Cuisine\recipe.dart", "Dart", 0, -4, -117, -7, -128
"c:\kaio\lib\Destination\DestinationSecondPage.dart", "Dart", 0, 0, -211, -8, -219
"c:\kaio\lib\Destination\Destinationdescription.dart", "Dart", 0, -113, 0, -5, -118
"c:\kaio\lib\Destination\Features.dart", "Dart", 0, -9, 0, -1, -10
"c:\kaio\lib\Destination\carouselPage.dart", "Dart", 0, 39, 1, 7, 47
"c:\kaio\lib\Destination\heritage.dart", "Dart", 0, -130, -1, -8, -139
"c:\kaio\lib\Destination\pilgrim.dart", "Dart", 0, -91, -1, -6, -98
"c:\kaio\lib\Destination\shrines.dart", "Dart", 0, -95, -1, -6, -102
"c:\kaio\lib\Destination\treks.dart", "Dart", 0, -48, -1, -6, -55
"c:\kaio\lib\Destination\wildlife.dart", "Dart", 0, -53, -1, -6, -60
"c:\kaio\lib\Handicraft\PaperMachie.dart", "Dart", 0, 100, 0, 8, 108
"c:\kaio\lib\Handicraft\PpaerMachie.dart", "Dart", 0, -100, 0, -8, -108
"c:\kaio\lib\MainScreens\literature.dart", "Dart", 0, 0, 0, 1, 1
"c:\kaio\lib\data\cuisines.dart", "Dart", 0, 720, 0, 51, 771
"c:\kaio\lib\data\destination.dart", "Dart", 0, 215, 0, 9, 224
"c:\kaio\lib\data\literature.dart", "Dart", 0, 0, 0, -1, -1
"c:\kaio\lib\main.dart", "Dart", 0, -4, 0, 0, -4
"c:\kaio\lib\widgets\Recipe.dart", "Dart", 0, -36, -164, -14, -214
"c:\kaio\lib\widgets\destinationFeature.dart", "Dart", 0, 4, 0, 0, 4
"c:\kaio\lib\widgets\travel_new.dart", "Dart", 0, -54, -2, -5, -61
"c:\kaio\pubspec.yaml", "YAML", 5, 0, -6, 0, -1
"Total", "-", 5, 341, -504, -5, -163